02,08,10,18,20,33
02,04,14,21,32,34
01,03,08,11,29,37
13,19,31,35,39,45
08,09,17,20,33,37
07,10,35,37,47,49
15,23,27,36,39,48
12,25,26,30,35,47
02,15,24,34,36,43
01,13,19,24,43,46
15,16,24,25,33,34
05,08,21,24,32,38
11,20,30,32,37,42
23,25,27,42,44,46
07,08,20,22,23,47
05,06,27,30,37,43
03,17,30,40,41,49
12,17,19,27,29,32
03,16,20,23,40,41
01,07,24,30,40,49
12,18,35,39,43,48
13,24,27,37,44,48
11,20,25,31,38,41
04,06,11,19,30,48
05,17,28,30,36,46
05,11,15,25,28,47
05,14,30,33,34,47
08,09,28,29,42,45
01,15,16,21,30,40
06,11,16,32,46,49
01,02,27,28,39,46
19,24,26,34,41,46
06,11,12,15,22,32
02,20,22,23,38,47
05,20,25,36,47,48
01,09,19,28,34,36
10,15,16,25,28,30
18,26,28,37,44,47
14,16,26,35,39,40
06,08,13,20,23,41
01,16,21,35,38,47
04,07,13,29,42,44
01,06,08,29,30,33
02,12,14,33,43,45
04,15,16,24,26,28
05,08,11,17,29,43
23,29,32,39,40,41
05,16,28,29,41,42
01,31,32,36,39,43
01,06,18,19,40,42
08,17,24,28,35,38
16,19,20,22,24,25
13,23,24,32,35,39
02,03,08,32,37,45
05,14,17,21,27,40
14,16,20,22,40,44
03,05,07,14,47,48
11,12,14,42,44,47
12,32,35,37,39,43
02,14,28,35,43,44
05,12,24,30,46,47
06,07,23,29,43,49
16,21,35,38,47,48
03,10,15,28,34,39
08,09,25,38,42,48
11,29,35,43,45,49
08,10,14,29,30,46
07,08,16,19,20,41
04,05,34,40,43,45
11,13,16,24,30,41
06,11,14,15,19,22
19,29,31,37,38,39
08,26,27,30,37,45
03,12,23,40,41,43
18,25,27,29,38,39
05,07,08,31,40,43
09,15,16,20,22,36
11,20,25,28,48,49
05,07,20,22,38,40
03,17,18,33,43,49
01,10,28,30,31,35
04,07,14,28,34,49
02,05,19,30,42,43
01,13,25,34,44,47
08,20,29,39,43,45
01,05,20,30,46,49
19,24,37,43,45,47
10,19,28,34,36,44
08,10,19,25,38,39
17,18,21,22,23,44
01,06,11,12,16,26
06,27,28,32,38,45
12,21,23,30,40,49
02,04,12,21,40,45
01,13,23,29,37,47
18,26,30,33,39,41
05,11,23,25,29,46
02,21,22,28,45,46
01,17,22,31,38,45
02,06,26,35,38,46
01,10,19,21,24,32
07,20,30,34,45,48
02,18,30,31,34,43
02,08,18,35,48,49
06,25,32,38,43,47
16,23,29,33,38,47
01,08,38,39,45,48
08,16,18,21,23,41
03,08,21,22,26,40
02,12,32,46,48,49
18,20,28,32,37,47
01,07,14,29,32,44
01,02,09,11,27,41
09,10,19,27,45,46
01,18,29,40,41,48
11,17,21,23,29,35
10,20,26,39,44,48
08,11,19,28,29,38
01,07,08,26,39,46
01,12,13,14,15,42
04,13,18,22,36,46
04,09,10,15,16,40
04,13,19,22,30,47
02,12,14,22,30,41
09,23,25,31,45,48
10,12,14,19,23,46
03,10,15,20,22,48
03,15,32,38,40,42
09,24,39,40,41,47
03,09,22,29,33,34
04,05,13,16,26,29
02,18,31,40,43,45
05,06,11,19,34,44
21,23,36,37,40,46
11,15,17,22,27,37
04,07,11,31,32,49
05,09,25,31,33,49
06,18,27,28,32,33
03,11,17,18,39,46
04,05,13,19,25,27
12,16,17,18,40,45
01,11,12,21,29,36
11,18,34,40,47,48
08,13,17,25,44,46
12,24,32,36,37,43
06,22,25,27,32,47
15,17,23,32,44,45
03,04,27,29,32,45
04,10,14,15,22,45
04,07,13,14,39,40
02,03,04,27,28,37
01,04,06,08,19,27
01,05,10,18,28,30
02,04,06,13,18,19
17,18,28,29,36,49
03,20,26,33,42,44
12,15,22,27,28,43
04,19,34,38,43,48
14,27,37,43,46,49
01,02,05,26,33,49
22,24,25,31,45,47
06,13,29,37,38,45
05,08,15,17,34,45
01,03,12,15,29,47
09,10,18,20,30,46
06,10,21,42,43,47
04,08,19,21,24,33
06,14,18,29,45,46
03,14,24,34,41,46
10,21,25,33,42,43
02,10,14,23,36,44
10,14,23,38,42,48
12,20,23,27,29,42
03,28,31,34,43,46
04,13,14,19,41,44
03,07,12,22,24,39
07,24,30,39,44,48
02,04,08,23,33,44
10,17,22,26,29,49
04,10,15,16,34,49
02,03,18,30,35,47
01,04,05,14,19,45
04,13,18,28,33,40
16,19,26,31,33,40
20,27,35,36,41,42
02,03,15,22,36,40
03,11,19,30,33,35
06,11,17,25,30,43
12,24,32,33,36,45
11,26,31,32,43,45
06,07,12,27,28,41
01,05,14,26,27,29
05,19,23,34,36,37
15,20,21,25,32,42
02,05,16,21,34,35
05,10,18,19,34,35
01,02,06,22,29,34
01,04,22,35,39,40
01,09,12,26,28,34
08,15,19,29,38,48
08,15,21,25,37,42
01,19,23,31,38,48
02,19,26,29,41,42
01,25,26,28,34,45
01,02,09,19,30,49
06,07,19,21,31,42
12,14,37,39,41,47
17,19,24,33,41,46
02,13,15,17,32,40
03,08,19,20,44,45
03,14,23,29,35,48
04,07,10,18,27,31
01,14,21,26,35,49
15,23,29,33,37,41
01,04,36,37,42,43
02,26,32,37,40,43
08,15,19,23,27,33
01,06,13,21,26,40
14,19,20,23,24,29
06,08,12,30,40,41
10,18,26,35,41,48
01,08,10,17,27,31
06,11,20,24,36,41
07,22,34,44,46,47
05,18,19,26,39,49
11,13,23,24,41,42
02,26,28,44,45,47
01,12,27,32,40,48
01,02,17,28,36,42
03,05,11,16,17,40
02,07,08,13,32,42
14,19,29,34,42,48
13,25,30,33,36,43
02,05,07,38,43,44
01,03,09,29,36,41
09,10,25,35,37,40
02,03,08,10,39,48
07,15,22,37,41,42
05,09,11,33,46,49
13,14,26,33,36,40
03,26,31,35,46,49
05,11,22,28,30,42
08,14,31,42,43,44
01,28,30,34,48,49
10,12,14,39,41,45
08,13,19,25,29,38
18,24,32,33,35,46
06,13,19,37,38,43
04,05,07,15,24,38
16,20,23,31,38,43
04,06,11,32,36,43
04,06,09,11,19,23
03,11,24,38,40,43
11,16,26,27,40,44
09,12,13,18,22,36
03,14,28,31,40,49
02,14,19,30,32,49
02,04,13,21,25,28
17,22,26,29,31,44
08,15,17,32,36,45
03,06,12,30,44,46
05,09,16,33,36,43
03,21,27,36,37,46
02,06,09,20,22,48
01,04,10,22,31,41
02,13,21,32,41,43
01,22,27,34,47,49
09,17,24,41,42,47
13,17,31,36,39,43
01,07,39,40,41,46
01,10,13,23,42,48
01,04,16,27,36,44
01,06,09,11,21,39
05,12,13,27,42,48
04,06,10,25,29,41
07,10,14,15,26,46
03,10,13,15,31,48
07,17,19,35,42,44
08,18,19,20,36,40
05,18,25,28,35,46
23,29,30,36,37,43
07,12,14,21,34,38
10,11,13,26,44,45
01,06,11,20,24,35
09,16,35,42,47,49
10,12,14,31,33,40
04,07,14,22,45,47
05,10,27,34,36,38
01,04,06,17,23,26
03,09,12,14,15,46
18,23,33,35,36,41
01,13,24,35,44,48
03,13,33,34,45,47
03,16,33,37,43,45
07,13,34,36,43,45
04,13,38,39,40,42
13,15,26,42,45,47
06,07,14,18,25,34
04,11,22,24,27,36
04,07,12,15,36,41
09,13,14,32,34,49
18,28,33,38,46,49
27,30,32,35,42,47
08,09,24,28,42,47
09,15,17,18,37,46
13,14,16,19,31,38
01,03,28,30,38,40
03,07,09,28,30,48
09,12,16,21,22,23
02,04,15,17,36,40
18,24,28,31,42,49
01,08,09,14,21,23
02,05,09,21,34,49
09,20,31,34,37,45
13,15,16,27,38,49
03,05,16,22,29,33
05,15,19,27,46,49
03,17,28,36,41,47
16,18,24,25,34,42
07,12,25,31,37,44
03,15,18,23,31,39
03,07,09,30,44,45
04,12,20,36,40,45
04,20,25,28,46,49
14,16,28,33,45,47
13,15,36,39,40,41
19,25,28,29,34,42
03,20,27,28,44,46
02,17,18,19,38,40
07,12,17,23,33,37
01,12,17,18,30,46
13,14,15,23,24,41
03,19,34,36,44,48
01,02,22,27,30,44
11,25,32,40,44,46
05,07,27,39,42,48
13,35,43,45,46,47
08,11,37,38,42,45
19,31,32,37,40,48
06,16,18,30,32,41
02,13,31,32,33,40
02,13,34,36,41,42
01,17,18,40,41,43
02,04,07,09,16,41
07,11,21,41,43,46
05,07,08,09,17,42
03,05,11,27,34,37
09,26,33,34,36,44
02,16,19,25,37,43
01,24,29,42,44,45
10,12,23,26,41,46
05,18,26,28,46,47
05,07,15,29,42,44
02,06,23,36,37,46
05,13,19,38,39,42
03,10,17,26,39,49
02,16,28,36,38,43
08,20,26,27,47,48
11,20,22,26,27,43
02,07,21,24,30,42
10,19,20,25,39,42
10,15,21,22,42,43
10,16,28,37,39,40
10,14,22,26,27,36
10,20,29,30,33,41
16,32,34,36,45,46
03,10,16,27,34,37
25,31,37,39,44,49
03,10,11,13,19,31
08,11,12,27,41,44
01,02,03,28,40,43
03,27,29,36,37,47
21,24,38,39,45,46
01,09,14,25,28,29
03,05,10,21,26,49
09,19,22,29,37,44
09,21,31,35,43,47
10,13,27,29,37,45
06,11,21,22,28,41
01,09,17,19,38,43
07,15,16,35,37,38
15,21,22,26,28,35
18,23,24,33,45,48
07,14,29,31,43,46
12,13,26,30,39,46
09,14,15,22,26,48
